,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat,ADCP Temp,Press,Bat,Level,Hs,Ts,Vel Mag
m/d/y,F,µS/cm,,NTU+,%,mg/L,V,F,psi,V,ft,ft,sec,ft/s
5/20/2008 6:00,,,,,,,12.9,,,,,,,
5/20/2008 6:30,55.76,58,4.24,2.73,95.6,10.04,13,,,,,,,
5/20/2008 7:00,51.04,0,7.09,1.57,94.7,10.56,13.5,,,,,,,
5/20/2008 7:30,51.93,196,7.92,67.4,94.1,10.35,14,,,,,,,
5/20/2008 8:00,52.56,293,8.29,25.9,94.2,10.28,14.2,,,,,,,
5/20/2008 8:30,52.97,292,8.28,22,94.5,10.26,14.1,,,,,,,
5/20/2008 9:00,53.23,291,8.28,19.6,94.7,10.25,14.2,,,,,,,
5/20/2008 9:30,53.56,292,8.28,19.07,95.1,10.25,14.4,,,,,,,
5/20/2008 10:00,54.23,292,8.29,18.07,96.1,10.26,14.5,,,,,,,
5/20/2008 10:30,54.73,292,8.29,18.77,96.6,10.26,14.4,,,,,,,
5/20/2008 11:00,54.78,292,8.29,19,96.8,10.28,14.4,,,,,,,
5/20/2008 11:30,55.35,292,8.3,22.33,97.4,10.26,14.4,,,,,,,
5/20/2008 12:00,55.76,292,8.3,27.47,97.8,10.24,14.4,,,,,,,
5/20/2008 12:30,56.21,292,8.3,28.43,97.9,10.21,14.5,,,,,,,
5/20/2008 13:00,56.72,293,8.31,32.07,97.8,10.13,14.6,,,,,,,
5/20/2008 13:30,56.91,293,8.32,36.63,97.5,10.07,14.5,,,,,,,
5/20/2008 14:00,56.86,292,8.33,36.93,96.9,10.02,14.5,,,,,,,
5/20/2008 14:30,56.83,292,8.34,39.1,96.5,9.98,14.5,,,,,,,
5/20/2008 15:00,56.6,291,8.34,41.93,96.3,9.98,14.5,,,,,,,
5/20/2008 15:30,56.33,290,8.34,43.53,96,10,14.3,,,,,,,
5/20/2008 16:00,56.04,288,8.34,42.13,95.8,10.01,14.1,,,,,,,
5/20/2008 16:30,55.83,288,8.33,41.67,95.7,10.03,13.5,,,,,,,
5/20/2008 17:00,55.57,288,8.33,41.87,95.4,10.02,13.4,,,,,,,
5/20/2008 17:30,55.39,288,8.32,38.3,95.1,10.02,13.2,,,,,,,
5/20/2008 18:00,55.28,288,8.32,39.7,94.8,10,13.2,,,,,,,
5/20/2008 18:30,55.13,289,8.31,39.23,94.5,9.99,13.2,,,,,,,
5/20/2008 19:00,55.04,289,8.32,38.03,94.3,9.98,13.2,,,,,,,
5/20/2008 19:30,54.91,289,8.32,41.3,94,9.96,13.1,,,,,,,
5/20/2008 20:00,54.82,290,8.3,47.97,93.7,9.94,13.1,,,,,,,
5/20/2008 20:30,54.68,290,8.31,47.43,93.5,9.94,13.1,,,,,,,
5/20/2008 21:00,54.56,290,8.3,43.53,93.4,9.93,13.1,,,,,,,
5/20/2008 21:30,54.5,290,8.3,39.2,93.3,9.94,13.1,,,,,,,
5/20/2008 22:00,54.39,290,8.3,40.87,93.2,9.94,13.1,,,,,,,
5/20/2008 22:30,54.22,292,8.3,36.87,93.2,9.95,13.1,,,,,,,
5/20/2008 23:00,54.18,293,8.27,30.87,92.9,9.93,13.1,,,,,,,
5/20/2008 23:30,54.19,293,8.23,23.8,92.6,9.9,13.1,,,,,,,
5/21/2008 0:00,53.95,293,8.29,34.87,92.7,9.94,13.1,,,,,,,
5/21/2008 0:30,53.9,292,8.26,32.67,92.5,9.93,13.1,,,,,,,
5/21/2008 1:00,53.72,293,8.25,25.37,92.4,9.94,13.1,,,,,,,
5/21/2008 1:30,53.36,293,8.3,30.3,93.1,10.05,13.1,,,,,,,
5/21/2008 2:00,53.15,293,8.31,31.6,93.3,10.11,13.1,,,,,,,
5/21/2008 2:30,53.15,293,8.29,33.5,92.9,10.06,13,,,,,,,
5/21/2008 3:00,53.08,293,8.29,32.8,92.8,10.06,13,,,,,,,
5/21/2008 3:30,53.14,293,8.27,30.9,92.9,10.06,13.1,,,,,,,
5/21/2008 4:00,53.17,293,8.26,33.27,92.9,10.06,13.1,,,,,,,
5/21/2008 4:30,53.32,292,8.25,28.2,93,10.05,13.1,,,,,,,
5/21/2008 5:00,53.28,292,8.25,26.77,93,10.06,13.1,,,,,,,
5/21/2008 5:30,53.19,288,8.27,21.33,93.6,10.14,13.1,,,,,,,
5/21/2008 6:00,53.13,287,8.27,19.2,94,10.18,13.1,,,,,,,
5/21/2008 6:30,53.1,287,8.28,18.1,94,10.19,13.2,,,,,,,
5/21/2008 7:00,53.12,289,8.27,20.67,93.6,10.14,13.3,,,,,,,
5/21/2008 7:30,53.11,290,8.27,21.37,93.6,10.15,13.5,,,,,,,
5/21/2008 8:00,53.16,289,8.27,21.13,93.9,10.16,14.4,,,,,,,
5/21/2008 8:30,53.27,290,8.27,21.63,93.9,10.15,14.6,,,,,,,
5/21/2008 9:00,53.4,290,8.27,20.03,94.1,10.16,14.6,,,,,,,
5/21/2008 9:30,53.4,290,8.28,19.2,94.3,10.19,14.6,,,,,,,
5/21/2008 10:00,53.4,291,8.27,17.83,94.5,10.2,14.5,,,,,,,
5/21/2008 10:30,53.44,291,8.26,21.6,94.3,10.18,14.5,,,,,,,
5/21/2008 11:00,53.56,291,8.28,22.1,94.5,10.18,14.5,,,,,,,
5/21/2008 11:30,53.66,291,8.28,22.43,95.2,10.25,14.6,,,,,,,
5/21/2008 12:00,53.67,291,8.29,23.67,95.4,10.26,14.3,,,,,,,
5/21/2008 12:30,53.69,291,8.3,24.8,95.3,10.24,14.5,,,,,,,
5/21/2008 13:00,53.82,292,8.31,27.9,95.6,10.27,14.5,,,,,,,
5/21/2008 13:30,53.94,292,8.31,28.5,95.9,10.28,14.5,,,,,,,
5/21/2008 14:00,53.91,292,8.31,30.5,95.7,10.27,14.5,,,,,,,
5/21/2008 14:30,53.9,292,8.31,31.77,95.8,10.27,14.4,,,,,,,
5/21/2008 15:00,53.85,293,8.32,33.23,95.7,10.27,14.4,,,,,,,
5/21/2008 15:30,53.76,293,8.32,35.47,95.6,10.27,13.6,,,,,,,
5/21/2008 16:00,53.66,294,8.33,40.13,95.7,10.29,13.3,,,,,,,
5/21/2008 16:30,53.56,294,8.33,41.47,95.7,10.31,13.2,,,,,,,
5/21/2008 17:00,53.5,294,8.34,44.53,95.8,10.33,13.2,,,,,,,
5/21/2008 17:30,53.46,295,8.34,48.77,95.8,10.33,13.2,,,,,,,
5/21/2008 18:00,53.39,295,8.33,52.4,95.6,10.33,13.2,,,,,,,
5/21/2008 18:30,53.31,295,8.33,52.8,95.6,10.34,13.2,,,,,,,
5/21/2008 19:00,53.31,296,8.33,56.07,95.7,10.34,13.1,,,,,,,
5/21/2008 19:30,53.29,297,8.33,59.6,95.8,10.36,13.1,,,,,,,
5/21/2008 20:00,53.22,297,8.34,62.43,95.9,10.38,13.1,,,,,,,
5/21/2008 20:30,53.18,297,8.33,64.53,95.8,10.37,13.1,,,,,,,
5/21/2008 21:00,53.12,298,8.32,65.43,95.7,10.37,13.1,,,,,,,
5/21/2008 21:30,53.08,299,8.32,62.8,95.3,10.34,13.1,,,,,,,
5/21/2008 22:00,52.96,299,8.33,65.3,95.5,10.37,13.1,,,,,,,
5/21/2008 22:30,52.92,299,8.31,61.87,95.3,10.35,13.1,,,,,,,
5/21/2008 23:00,52.93,300,8.29,52.2,94.7,10.29,13,,,,,,,
5/21/2008 23:30,52.82,299,8.28,49.4,94.7,10.3,13.1,,,,,,,
5/22/2008 0:00,52.75,297,8.28,46.23,94.6,10.29,13.1,,,,,,,
5/22/2008 0:30,52.67,298,8.29,47.63,94.7,10.32,13.1,,,,,,,
5/22/2008 1:00,52.61,294,8.27,41.8,94.3,10.29,13,,,,,,,
5/22/2008 1:30,52.52,293,8.27,41.3,94.6,10.32,13.1,,,,,,,
5/22/2008 2:00,52.45,293,8.28,44.2,95,10.38,13,,,,,,,
5/22/2008 2:30,52.36,294,8.29,45.13,95.5,10.44,13,,,,,,,
5/22/2008 3:00,52.29,294,8.3,46.1,95.8,10.49,13.1,,,,,,,
5/22/2008 3:30,52.25,293,8.29,43.2,95.9,10.51,13,,,,,,,
5/22/2008 4:00,52.21,292,8.3,45.07,96,10.52,13.1,,,,,,,
5/22/2008 4:30,52.17,292,8.3,41.93,96.2,10.54,13.1,,,,,,,
5/22/2008 5:00,52.18,292,8.3,42.2,96.2,10.55,13.3,,,,,,,
5/22/2008 5:30,52.2,292,8.3,42.93,96.3,10.56,13.5,,,,,,,
5/22/2008 6:00,52.17,292,8.31,43.53,96.6,10.59,13.4,,,,,,,
5/22/2008 6:30,52.18,292,8.31,44.77,96.7,10.6,13.6,,,,,,,
5/22/2008 7:00,52.19,292,8.31,42.77,96.7,10.6,13.8,,,,,,,
5/22/2008 7:30,52.25,293,8.31,43.9,96.8,10.6,14.3,,,,,,,
5/22/2008 8:00,52.31,293,8.32,44.67,96.9,10.61,14.6,,,,,,,
5/22/2008 8:30,52.44,293,8.32,45.63,97.1,10.61,14.6,,,,,,,
5/22/2008 9:00,52.56,294,8.32,46,97,10.59,14.6,,,,,,,
5/22/2008 9:30,52.62,295,8.33,49.3,97.1,10.59,14.5,,,,,,,
5/22/2008 10:00,52.66,296,8.33,52.57,97.1,10.58,14.5,,,,,,,
5/22/2008 10:30,52.76,297,8.33,55.87,97.2,10.58,14.5,,,,,,,
5/22/2008 11:00,52.82,298,8.33,56.83,97.3,10.58,14.4,,,,,,,
5/22/2008 11:30,52.97,299,8.34,56.93,97.4,10.57,14.6,,,,,,,
5/22/2008 12:00,53.17,300,8.34,57.03,97.6,10.56,14.4,,,,,,,
5/22/2008 12:30,53.38,300,8.35,58.6,97.7,10.55,14.6,,,,,,,
5/22/2008 13:00,53.49,301,8.34,59.47,97.7,10.54,14.6,,,,,,,
5/22/2008 13:30,53.62,301,8.34,60.37,97.7,10.52,14.6,,,,,,,
5/22/2008 14:00,53.66,302,8.35,62.7,97.7,10.51,14.5,,,,,,,
5/22/2008 14:30,53.74,303,8.35,65.37,97.7,10.5,14.3,,,,,,,
5/22/2008 15:00,53.77,304,8.35,64.93,97.6,10.48,14.5,,,,,,,
5/22/2008 15:30,53.72,304,8.35,65.9,97.5,10.48,14.5,,,,,,,
5/22/2008 16:00,53.73,304,8.35,67.17,97.4,10.47,14.4,,,,,,,
5/22/2008 16:30,53.65,305,8.34,66.27,97.2,10.46,13.7,,,,,,,
5/22/2008 17:00,53.54,305,8.34,66.03,97,10.46,13.4,,,,,,,
5/22/2008 17:30,53.42,306,8.34,65.1,96.8,10.45,13.3,,,,,,,
5/22/2008 18:00,53.33,306,8.33,64.3,96.4,10.42,13.2,,,,,,,
5/22/2008 18:30,53.2,306,8.33,61.67,96.2,10.42,13.2,,,,,,,
5/22/2008 19:00,53.06,307,8.34,62.57,96.1,10.43,13.2,,,,,,,
5/22/2008 19:30,52.96,307,8.33,61.93,96,10.42,13.2,,,,,,,
5/22/2008 20:00,52.86,307,8.33,59.5,95.8,10.42,13.1,,,,,,,
5/22/2008 20:30,52.75,307,8.33,58.83,95.7,10.42,13.1,,,,,,,
5/22/2008 21:00,52.63,307,8.33,54.4,95.6,10.43,13.1,,,,,,,
5/22/2008 21:30,52.53,307,8.33,53.73,95.6,10.43,13.1,,,,,,,
5/22/2008 22:00,52.53,307,8.32,49.47,95.3,10.41,13.1,,,,,,,
5/22/2008 22:30,52.56,307,8.31,47.27,95.1,10.38,13.1,,,,,,,
5/22/2008 23:00,52.46,307,8.31,47.27,95,10.38,13.1,,,,,,,
5/22/2008 23:30,52.14,307,8.32,44.27,95,10.42,13.1,,,,,,,
5/23/2008 0:00,52.19,307,8.31,42.37,94.8,10.4,13.1,,,,,,,
5/23/2008 0:30,52.15,308,8.31,42,94.7,10.39,13.1,,,,,,,
5/23/2008 1:00,51.91,308,8.32,42.7,94.8,10.44,13.1,,,,,,,
5/23/2008 1:30,52.06,307,8.31,40.33,94.5,10.38,13,,,,,,,
5/23/2008 2:00,52.08,307,8.3,37.53,94.4,10.36,13,,,,,,,
5/23/2008 2:30,51.87,307,8.31,38.57,94.5,10.4,13,,,,,,,
5/23/2008 3:00,51.94,307,8.3,32.53,94.1,10.35,13.1,,,,,,,
5/23/2008 3:30,52.12,306,8.28,28.8,93.8,10.29,13.1,,,,,,,
5/23/2008 4:00,52.03,306,8.28,30.57,93.8,10.31,13.1,,,,,,,
5/23/2008 4:30,52.07,306,8.28,26.17,93.7,10.29,13.5,,,,,,,
5/23/2008 5:00,52.06,306,8.29,26.57,94.4,10.36,14.2,,,,,,,
5/23/2008 5:30,52.19,306,8.3,26.3,95.1,10.43,14.5,,,,,,,
5/23/2008 6:00,52.59,306,8.3,24.67,95.4,10.4,14.7,,,,,,,
5/23/2008 6:30,52.89,305,8.3,25.3,95.6,10.39,14.5,,,,,,,
5/23/2008 7:00,53.31,300,8.29,19.9,95.8,10.35,14.5,,,,,,,
5/23/2008 7:30,53.73,301,8.3,21.17,96.4,10.37,14.4,,,,,,,
5/23/2008 8:00,54.27,302,8.3,19.47,97,10.36,14.5,,,,,,,
5/23/2008 8:30,54.73,304,8.31,22.57,97.8,10.38,14.5,,,,,,,
5/23/2008 9:00,55.42,305,8.31,19.1,98.1,10.33,14.4,,,,,,,
5/23/2008 9:30,55.15,298,8.3,13.7,98.4,10.39,14.5,,,,,,,
5/23/2008 10:00,55.83,300,8.3,12.93,99.2,10.38,14.3,,,,,,,
5/23/2008 10:30,56.16,300,8.3,13.33,99.8,10.4,14.4,,,,,,,
5/23/2008 11:00,56.58,300,8.3,14.4,100.2,10.39,14.5,,,,,,,
5/23/2008 11:30,57.05,300,8.31,14.07,100.6,10.38,14.5,,,,,,,
5/23/2008 12:00,57.29,300,8.31,14.57,100.9,10.38,14.4,,,,,,,
5/23/2008 12:30,57.6,300,8.31,14.83,101.2,10.37,14.5,,,,,,,
5/23/2008 13:00,57.31,299,8.32,13.4,101,10.39,14.5,,,,,,,
5/23/2008 13:30,57.74,299,8.32,13.8,101.2,10.35,14.3,,,,,,,
5/23/2008 14:00,57.99,300,8.33,13.97,101.1,10.31,14.5,,,,,,,
5/23/2008 14:30,57.91,299,8.33,13.93,101,10.31,14.6,,,,,,,
5/23/2008 15:00,57.94,299,8.33,14.37,100.6,10.27,14.5,,,,,,,
5/23/2008 15:30,57.84,299,8.33,14.8,100.4,10.25,14.5,,,,,,,
5/23/2008 16:00,57.78,299,8.33,16.17,100,10.22,14.1,,,,,,,
5/23/2008 16:30,57.78,300,8.34,15.43,99.4,10.16,13.6,,,,,,,
5/23/2008 17:00,57.71,300,8.34,17.03,98.7,10.11,13.4,,,,,,,
5/23/2008 17:30,57.5,300,8.33,18.03,98.4,10.09,13.3,,,,,,,
5/23/2008 18:00,57.23,300,8.33,18.1,97.9,10.08,13.2,,,,,,,
5/23/2008 18:30,57.11,300,8.33,20.17,97.4,10.04,13.2,,,,,,,
5/23/2008 19:00,56.78,299,8.32,20.2,97.4,10.08,13.2,,,,,,,
5/23/2008 19:30,56.36,299,8.3,20.6,96.9,10.09,13.2,,,,,,,
5/23/2008 20:00,55.84,301,8.26,20.8,96.6,10.11,13.2,,,,,,,
5/23/2008 20:30,55.77,301,8.27,19.77,96.7,10.13,13.1,,,,,,,
5/23/2008 21:00,55.73,300,8.27,20.77,96.6,10.13,13.1,,,,,,,
5/23/2008 21:30,55.66,301,8.27,20.73,96.5,10.12,13.1,,,,,,,
5/23/2008 22:00,55.51,302,8.26,22.77,96.3,10.13,13.1,,,,,,,
5/23/2008 22:30,55.35,302,8.26,19.9,96.2,10.13,13.1,,,,,,,
5/23/2008 23:00,55.22,301,8.28,20.97,96.2,10.15,13.1,,,,,,,
5/23/2008 23:30,55.14,301,8.29,21.27,96.2,10.16,13.1,,,,,,,
5/24/2008 0:00,55.06,302,8.28,18.87,95.6,10.11,13.1,,,,,,,
5/24/2008 0:30,55.01,301,8.28,20.3,95.7,10.12,13.1,,,,,,,
5/24/2008 1:00,54.96,302,8.28,19.7,95.5,10.11,13.1,,,,,,,
5/24/2008 1:30,54.95,302,8.25,16.6,94.9,10.05,13.1,,,,,,,
5/24/2008 2:00,54.85,302,8.26,16.83,94.9,10.06,13.1,,,,,,,
5/24/2008 2:30,54.74,302,8.27,17.87,95,10.09,13,,,,,,,
5/24/2008 3:00,54.68,301,8.25,15.4,94.7,10.07,13,,,,,,,
5/24/2008 3:30,54.63,302,8.27,18.03,95.1,10.11,13.1,,,,,,,
5/24/2008 4:00,54.61,302,8.29,19.27,95.4,10.14,13.3,,,,,,,
5/24/2008 4:30,54.59,302,8.29,17.8,95.4,10.14,13.6,,,,,,,
5/24/2008 5:00,54.7,302,8.28,16.5,95.4,10.13,14.3,,,,,,,
5/24/2008 5:30,54.88,302,8.27,14.5,95.4,10.1,14.4,,,,,,,
5/24/2008 6:00,55.01,302,8.27,14.13,95.7,10.12,14.5,,,,,,,
5/24/2008 6:30,55.22,302,8.27,14.1,95.8,10.1,14.3,,,,,,,
5/24/2008 7:00,55.58,302,8.27,12.9,96.4,10.12,14.4,,,,,,,
5/24/2008 7:30,55.81,302,8.26,11.1,96.8,10.14,14.5,,,,,,,
5/24/2008 8:00,56.07,303,8.28,6.9,98.6,10.29,14.5,,,,,,,
5/24/2008 8:30,56.49,303,8.29,7.03,99.4,10.32,14.5,,,,,,,
5/24/2008 9:00,57.04,302,8.3,8.77,99.4,10.26,14.5,,,,,,,
5/24/2008 9:30,57.43,302,8.29,8.6,99.7,10.24,14.4,,,,,,,
5/24/2008 10:00,58.01,302,8.29,7.8,100.7,10.27,14.5,,,,,,,
5/24/2008 10:30,58.81,302,8.3,8.13,101.2,10.22,14.4,,,,,,,
5/24/2008 11:00,59.32,302,8.3,7.9,102,10.24,14.4,,,,,,,
5/24/2008 11:30,59.74,302,8.31,7.8,102.6,10.25,14.4,,,,,,,
5/24/2008 12:00,60.04,302,8.31,7.77,103.1,10.26,14.4,,,,,,,
5/24/2008 12:30,60.1,303,8.31,7.13,103.5,10.29,14.3,,,,,,,
5/24/2008 13:00,60.31,303,8.32,6.6,104.1,10.32,14.4,,,,,,,
5/24/2008 13:30,60.39,303,8.34,6.67,104.7,10.38,14.4,,,,,,,
5/24/2008 14:00,60.41,303,8.33,6.97,104.3,10.34,14.4,,,,,,,
5/24/2008 14:30,60.54,303,8.34,7.2,104.3,10.32,14.4,,,,,,,
5/24/2008 15:00,59.45,303,8.36,5.6,104.8,10.5,14.4,,,,,,,
5/24/2008 15:30,59.81,303,8.35,5.9,104.1,10.39,14.5,,,,,,,
5/24/2008 16:00,59.37,304,8.34,6.13,103.7,10.41,14.5,,,,,,,
5/24/2008 16:30,58.8,303,8.34,5.47,102.9,10.4,13.9,,,,,,,
5/24/2008 17:00,58.37,304,8.32,6.5,101.8,10.33,13.5,,,,,,,
5/24/2008 17:30,57.86,304,8.32,11.13,101.6,10.38,13.2,,,,,,,
5/24/2008 18:00,57.77,305,8.32,12.6,101.4,10.37,13.2,,,,,,,
5/24/2008 18:30,57.79,305,8.31,14.7,100.9,10.31,13.1,,,,,,,
5/24/2008 19:00,57.81,305,8.31,14.33,100.8,10.31,13.2,,,,,,,
5/24/2008 19:30,57.91,305,8.31,14.7,100.3,10.24,13.2,,,,,,,
5/24/2008 20:00,57.9,305,8.3,14.67,100,10.21,13.2,,,,,,,
5/24/2008 20:30,57.95,305,8.3,13.47,99.8,10.19,13.1,,,,,,,
5/24/2008 21:00,58,305,8.29,15.23,99.4,10.14,13.1,,,,,,,
5/24/2008 21:30,57.91,305,8.29,12.13,99.2,10.14,13.1,,,,,,,
5/24/2008 22:00,57.72,305,8.29,11.13,98.9,10.13,13.1,,,,,,,
5/24/2008 22:30,57.57,306,8.26,11.7,98.2,10.07,13.1,,,,,,,
5/24/2008 23:00,57.21,308,8.26,12.37,98.5,10.14,13.1,,,,,,,
5/24/2008 23:30,56.87,309,8.25,10.9,98.5,10.19,13.1,,,,,,,
5/25/2008 0:00,56.7,309,8.24,9.3,98.4,10.2,13.1,,,,,,,
5/25/2008 0:30,56.61,308,8.23,8.3,97.9,10.16,13.1,,,,,,,
5/25/2008 1:00,56.51,308,8.24,8.17,97.7,10.15,13.1,,,,,,,
5/25/2008 1:30,56.37,308,8.23,7.53,97.3,10.12,13.1,,,,,,,
5/25/2008 2:00,56.36,308,8.25,8.3,97,10.1,13,,,,,,,
5/25/2008 2:30,56.08,308,8.23,6.57,96.9,10.11,13,,,,,,,
5/25/2008 3:00,56.1,308,8.24,7.43,96.4,10.06,13,,,,,,,
5/25/2008 3:30,56.16,307,8.26,8.9,96.2,10.03,13.1,,,,,,,
5/25/2008 4:00,56.03,308,8.24,6.87,96.1,10.03,13.3,,,,,,,
5/25/2008 4:30,55.99,308,8.23,5.5,96.8,10.11,13.8,,,,,,,
5/25/2008 5:00,56.04,308,8.24,5.17,97.2,10.15,14.2,,,,,,,
5/25/2008 5:30,56.14,308,8.24,5.47,97.6,10.18,14.5,,,,,,,
5/25/2008 6:00,56.28,308,8.26,6.1,98.2,10.23,14.5,,,,,,,
5/25/2008 6:30,56.34,309,8.28,4.33,99.1,10.31,14.4,,,,,,,
5/25/2008 7:00,56.63,309,8.27,4.7,99.1,10.27,14.4,,,,,,,
5/25/2008 7:30,56.92,309,8.28,4.2,99.9,10.32,14.3,,,,,,,
5/25/2008 8:00,57.2,308,8.3,4,100.8,10.38,14.3,,,,,,,
5/25/2008 8:30,57.47,309,8.31,3.87,101.6,10.42,14.4,,,,,,,
5/25/2008 9:00,58.39,309,8.31,4.97,101.8,10.33,14.3,,,,,,,
5/25/2008 9:30,58.72,309,8.31,3.27,102.7,10.39,14.5,,,,,,,
5/25/2008 10:00,59.18,309,8.33,3.37,104.1,10.47,14.5,,,,,,,
5/25/2008 10:30,59.25,309,8.34,3.63,104.6,10.51,14.4,,,,,,,
5/25/2008 11:00,59.06,309,8.35,3.6,105,10.57,14.4,,,,,,,
5/25/2008 11:30,59.28,309,8.37,3.43,105.9,10.63,14.4,,,,,,,
5/25/2008 12:00,59.27,309,8.35,4.1,105.1,10.56,14.5,,,,,,,
5/25/2008 12:30,59.22,309,8.36,4.27,105.4,10.59,14.5,,,,,,,
5/25/2008 13:00,59.35,309,8.37,3.83,106.1,10.65,14.5,,,,,,,
5/25/2008 13:30,59.67,309,8.37,4.43,106.4,10.63,14.4,,,,,,,
5/25/2008 14:00,58.28,309,8.38,3.73,105.8,10.76,14.4,,,,,,,
5/25/2008 14:30,57.22,308,8.41,3.17,105.7,10.88,14.4,,,,,,,
5/25/2008 15:00,56.83,308,8.41,3.17,106.1,10.98,14.4,,,,,,,
5/25/2008 15:30,57.93,309,8.41,3.27,106,10.82,14.4,,,,,,,
5/25/2008 16:00,56.95,308,8.44,2.87,107.3,11.08,14.3,,,,,,,
5/25/2008 16:30,56.75,308,8.45,2.8,107.3,11.11,14,,,,,,,
5/25/2008 17:00,57.27,307,8.45,2.6,107.8,11.09,13.4,,,,,,,
5/25/2008 17:30,56.78,307,8.45,2.6,107.3,11.11,13.3,,,,,,,
5/25/2008 18:00,56.66,306,8.45,2.5,107.1,11.1,13.2,,,,,,,
5/25/2008 18:30,56.25,306,8.44,2.3,106.5,11.09,13.2,,,,,,,
5/25/2008 19:00,56.33,306,8.43,2.23,106.1,11.04,13.2,,,,,,,
5/25/2008 19:30,56.53,307,8.42,2.43,105.2,10.92,13.2,,,,,,,
5/25/2008 20:00,56.4,306,8.42,2.57,105,10.92,13.2,,,,,,,
5/25/2008 20:30,56.12,306,8.42,2.4,104.9,10.94,13.2,,,,,,,
5/25/2008 21:00,56.21,306,8.43,2.37,105.2,10.97,13.1,,,,,,,
5/25/2008 21:30,56.01,306,8.42,2.47,104.6,10.93,13.1,,,,,,,
5/25/2008 22:00,55.81,305,8.42,2.23,104.1,10.9,13.1,,,,,,,
5/25/2008 22:30,55.76,305,8.4,2.13,103.5,10.84,13.1,,,,,,,
5/25/2008 23:00,55.79,305,8.39,2.17,103,10.79,13.1,,,,,,,
5/25/2008 23:30,55.75,305,8.4,2.27,102.8,10.78,13.1,,,,,,,
5/26/2008 0:00,55.72,305,8.39,2.03,102.2,10.72,13.1,,,,,,,
5/26/2008 0:30,55.67,305,8.36,1.93,101.4,10.64,13.1,,,,,,,
5/26/2008 1:00,55.66,306,8.38,2.13,101.4,10.64,13.1,,,,,,,
5/26/2008 1:30,55.69,306,8.33,1.97,100.3,10.52,13.1,,,,,,,
5/26/2008 2:00,55.66,306,8.35,2.4,100.5,10.55,13.1,,,,,,,
5/26/2008 2:30,55.65,306,8.34,2.4,99.9,10.48,13.1,,,,,,,
5/26/2008 3:00,55.67,306,8.32,2.53,99.3,10.41,13.1,,,,,,,
5/26/2008 3:30,55.73,306,8.31,2.57,99.3,10.41,13.2,,,,,,,
5/26/2008 4:00,55.66,309,8.33,3.7,98.8,10.37,13.3,,,,,,,
5/26/2008 4:30,55.79,311,8.31,2.7,99.4,10.42,13.6,,,,,,,
5/26/2008 5:00,55.84,310,8.31,3.2,99,10.36,13.4,,,,,,,
5/26/2008 5:30,55.88,310,8.31,2.93,99.2,10.38,13.9,,,,,,,
5/26/2008 6:00,55.96,310,8.33,3.57,99.7,10.42,13.9,,,,,,,
5/26/2008 6:30,56.04,311,8.34,4.37,99.5,10.4,13.9,,,,,,,
5/26/2008 7:00,56.33,311,8.35,5.37,99.4,10.35,14.3,,,,,,,
5/26/2008 7:30,56.44,310,8.35,4.33,100.1,10.4,14.3,,,,,,,
5/26/2008 8:00,56.59,309,8.36,3.97,100.7,10.45,14.3,,,,,,,
5/26/2008 8:30,57.06,310,8.38,4.97,101.2,10.44,14.3,,,,,,,
5/26/2008 9:00,57.22,310,8.39,4.23,101.8,10.48,14.4,,,,,,,
5/26/2008 9:30,57.82,307,8.39,6.13,101.8,10.41,14.3,,,,,,,
5/26/2008 10:00,58.05,307,8.39,5.9,101.7,10.36,14.3,,,,,,,
5/26/2008 10:30,58.12,307,8.38,5.33,101.9,10.39,14.3,,,,,,,
5/26/2008 11:00,58.42,306,8.39,4.7,102.6,10.41,14.3,,,,,,,
5/26/2008 11:30,58.67,307,8.39,4.3,102.6,10.38,14.3,,,,,,,
5/26/2008 12:00,59.07,307,8.4,4.17,103.3,10.4,14.3,,,,,,,
5/26/2008 12:30,59.31,307,8.41,3.43,104.4,10.47,14.3,,,,,,,
5/26/2008 13:00,59.69,307,8.41,4.43,104.4,10.43,14.1,,,,,,,
5/26/2008 13:30,59.37,306,8.42,3.8,104.8,10.52,14.3,,,,,,,
5/26/2008 14:00,59.23,306,8.41,3.53,104.4,10.49,14.2,,,,,,,
5/26/2008 14:30,59.4,306,8.42,3.37,104.8,10.51,14.3,,,,,,,
5/26/2008 15:00,59.55,307,8.42,3.73,104.6,10.47,14.4,,,,,,,
5/26/2008 15:30,59.81,306,8.42,4.03,104,10.38,14.4,,,,,,,
5/26/2008 16:00,59.6,307,8.4,3.63,103.9,10.4,14.3,,,,,,,
5/26/2008 16:30,59.87,307,8.4,4.87,102.7,10.24,13.8,,,,,,,
5/26/2008 17:00,59.78,307,8.38,4.93,102.3,10.21,13.4,,,,,,,
5/26/2008 17:30,59.84,309,8.38,5.07,102,10.18,13.3,,,,,,,
5/26/2008 18:00,59.54,307,8.37,4.7,102.6,10.27,13.2,,,,,,,
5/26/2008 18:30,59.56,308,8.36,4.73,102.6,10.27,13.2,,,,,,,
